text_data
The country ABW had a total of 0 cancellations.
The country AGO had a total of 205 cancellations.
The country AIA had a total of 0 cancellations.
The country ALB had a total of 2 cancellations.
The country AND had a total of 5 cancellations.
The country ARE had a total of 43 cancellations.
The country ARG had a total of 54 cancellations.
The country ARM had a total of 2 cancellations.
The country ASM had a total of 0 cancellations.
The country ATA had a total of 0 cancellations.
The country ATF had a total of 0 cancellations.
The country AUS had a total of 107 cancellations.
The country AUT had a total of 230 cancellations.
The country AZE had a total of 9 cancellations.
The country BDI had a total of 0 cancellations.
The country BEL had a total of 474 cancellations.
The country BEN had a total of 3 cancellations.
The country BFA had a total of 0 cancellations.
The country BGD had a total of 9 cancellations.
The country BGR had a total of 12 cancellations.
The country BHR had a total of 4 cancellations.
The country BHS had a total of 0 cancellations.
The country BIH had a total of 3 cancellations.
The country BLR had a total of 9 cancellations.
The country BOL had a total of 0 cancellations.
The country BRA had a total of 830 cancellations.
The country BRB had a total of 0 cancellations.
The country BWA had a total of 0 cancellations.
The country CAF had a total of 0 cancellations.
The country CHE had a total of 428 cancellations.
The country CHL had a total of 16 cancellations.
The country CHN had a total of 462 cancellations.
The country CIV had a total of 2 cancellations.
The country CMR had a total of 0 cancellations.
The country CN had a total of 254 cancellations.
The country COL had a total of 23 cancellations.
The country COM had a total of 0 cancellations.
The country CPV had a total of 12 cancellations.
The country CRI had a total of 1 cancellations.
The country CUB had a total of 0 cancellations.
The country CYM had a total of 0 cancellations.
The country CYP had a total of 11 cancellations.
The country CZE had a total of 37 cancellations.
The country DEU had a total of 1218 cancellations.
The country DJI had a total of 0 cancellations.
The country DMA had a total of 0 cancellations.
The country DNK had a total of 109 cancellations.
The country DOM had a total of 8 cancellations.
The country DZA had a total of 21 cancellations.
The country ECU had a total of 8 cancellations.
The country EGY had a total of 11 cancellations.
The country ESP had a total of 2177 cancellations.
The country EST had a total of 18 cancellations.
The country ETH had a total of 1 cancellations.
The country FIN had a total of 69 cancellations.
The country FJI had a total of 1 cancellations.
The country FRA had a total of 1934 cancellations.
The country FRO had a total of 4 cancellations.
The country GAB had a total of 2 cancellations.
The country GBR had a total of 2453 cancellations.
The country GEO had a total of 15 cancellations.
The country GGY had a total of 3 cancellations.
The country GHA had a total of 2 cancellations.
The country GIB had a total of 11 cancellations.
The country GLP had a total of 2 cancellations.
The country GNB had a total of 1 cancellations.
The country GRC had a total of 35 cancellations.
The country GTM had a total of 0 cancellations.
The country GUY had a total of 0 cancellations.
The country HKG had a total of 26 cancellations.
